position,name,party,votes,flag,municipality,year
P -,JAIRO ANTONIO CASALLI .,MDB1,888,0,ronda-alta,1972
VP,Vitorio Ferdinando Grando,MDB1,888,0,ronda-alta,1972
P,OCLIDES BARBIERO,ARENA2,1.525,0,ronda-alta,1972
,•,ARENA2,1.525,0,ronda-alta,1972
VP pant •,Martinho Dall'Oglio .,ARENA1,873,0,ronda-alta,1972
P -,NORMANDO BALDISSARELLI .,ARENA1,873,0,ronda-alta,1972
,LADISLAU KRYZANSKI,ARENA,1.296,0,rondinha,1972
,JOÃO LUCIETTO,ARENA,1.296,0,rondinha,1972
,,,,1,roque-gonzales,1972
P -,Mario O. de Vasconcellos .,ARENA1,3.964....,0,rosario-do-sul,1972
VP,Augusto . Brasil de Carvalho,ARENA1,3.964....,0,rosario-do-sul,1972
P,Alson Pereira da Silva,ARENA2.,.4.47.3.,0,rosario-do-sul,1972
VP -,Pedro Paulo Gonçalves,ARENA2.,.4.47.3.,0,rosario-do-sul,1972
-,,.M.D.B.....,.4.608.,0,rosario-do-sul,1972
P,Thedy Guimarães .,.M.D.B.....,.4.608.,0,rosario-do-sul,1972
Р -,- MELCHIOR LERMEN,M.D.B.,3.168,0,salvador-do-sul,1972
-,- RODOLPHO HENRIQUE MULLER,M.D.B.,3.168,0,salvador-do-sul,1972
VP,. NOME,ARENA,2.773,0,sananduva,1972
,Osvaldo Pedro Camozzato,ARENA,2.773,0,sananduva,1972
P -,JOSÉ ANTONIO DUMONCEL ...,ARENA1,1.670,0,santa-barbara-do-sul,1972
VP -,EDMUNDO RUHRIG,ARENA1,1.670,0,santa-barbara-do-sul,1972
P,LAURO PRESTES FILHO,ARENA2...,516,0,santa-barbara-do-sul,1972
VP -,ERVINO GOERGEN,ARENA2...,516,0,santa-barbara-do-sul,1972
- a P –,a EULINO SAMUEL DA ROSA ....,MDB1,1.310,0,santa-barbara-do-sul,1972
"VP """,IRINEO TONON,MDB1,1.310,0,santa-barbara-do-sul,1972
,GRUENDLING ..,MDB-1……………,7.696,0,santa-cruz-do-sul,1972
VP,RUBEN GUILHERME KA EMPF,MDB-1……………,7.696,0,santa-cruz-do-sul,1972
P,JÚLIO DE OLIVEIRA VIANNA,MDB-2,7.037,0,santa-cruz-do-sul,1972
VP -,KARL BUDINER,MDB-2,7.037,0,santa-cruz-do-sul,1972
-,,ARENA,14.039,0,santa-cruz-do-sul,1972
P -,JURGEN KLEMM,ARENA,14.039,0,santa-cruz-do-sul,1972
P -,- ARTHUR MARQUES PFEIFFER,ARENA-1,30.016,0,santa-maria,1972
VP -,JOSE HAYDAR FARRET,ARENA-1,30.016,0,santa-maria,1972
P,RAPHAEL THEODORICO DA SILVA,ARENA-2,2.996,0,santa-maria,1972
14,,ARENA-2,2.996,0,santa-maria,1972
1 VP,,.MDB-1,12.066,0,santa-maria,1972
P,,.MDB-1,12.066,0,santa-maria,1972
VP,,MDB-2,7.32,0,santa-maria,1972
P,ALEXANDRE DA CRUZ CARLOS EDSON FERNANDES,MDB-2,7.32,0,santa-maria,1972
,. LUIZ GIOVELLI,ARENA,7.466,0,santa-rosa,1972
VP,WILSON PEDRO SEGER -,ARENA,7.466,0,santa-rosa,1972
.,- GENÉSIO . GRISOTTI,MDB,5.490,0,santa-rosa,1972
,ORDÉCIO JACÓ WEBER,MDB,5.490,0,santa-rosa,1972
,,,,1,santa-vitoria-do-palmar,1972
P -,Joaquim Silveira Pereira,MDB2,841.,0,santana-da-boa-vista,1972
VP -,Jonatas Rodrigues de,MDB2,841.,0,santana-da-boa-vista,1972
P,Irani Rodrigues de Freitas,ARENA,914,0,santana-da-boa-vista,1972
VP -,Adão Rodrigues de Melo,ARENA,914,0,santana-da-boa-vista,1972
-,Alberto Rodrigues,MDB1,303,0,santana-da-boa-vista,1972
Р padd,Sinval Pereira de,MDB1,303,0,santana-da-boa-vista,1972
P,,SUBLEGENDA,OBTIDA,0,santana-do-livramento,1972
VP,OBSERVAÇÕES : Não houve,SUBLEGENDA,OBTIDA,0,santana-do-livramento,1972
P -,Seg urança,paraPrefeito,serZonade,0,santana-do-livramento,1972
VP,,paraPrefeito,serZonade,0,santana-do-livramento,1972
P,Manoel João Brum Cardinal,ARENAII,8.060,0,santiago,1972
VP,Venâncio Gonçalves Terra,ARENAII,8.060,0,santiago,1972
P,Valdir Amaral Pinto,ARENAI,.6.300..,0,santiago,1972
VP,Miguel Oliveira Azambuja,ARENAI,.6.300..,0,santiago,1972
P,SIEGFRIED RITTER,ARENA..,17.187.....,0,santo-angelo,1972
VP_,JOSÉ ALCEBIADES DE OLIVEIRA,ARENA..,17.187.....,0,santo-angelo,1972
P,OSCAR VARGAS DA SILVA,ARENA,1.517.,0,santo-antonio-da-patrulha,1972
VP,ONILDO RAFAELI DE SOUZA,ARENA,1.517.,0,santo-antonio-da-patrulha,1972
P,PEDRO JOSE MOACIR RANGEL,ARENA,2.448.,0,santo-antonio-da-patrulha,1972
VP,BALDUINO BATISTA DE SOUZA,ARENA,2.448.,0,santo-antonio-da-patrulha,1972
,0,ARENA,3.199,0,santo-antonio-da-patrulha,1972
P,GELSO MARCELO BIER,ARENA,3.199,0,santo-antonio-da-patrulha,1972
,-,MDB,4.319.,0,santo-antonio-da-patrulha,1972
VP,DENATOR LAUREANO DA CUNHA,MDB,4.319.,0,santo-antonio-da-patrulha,1972
,-,MDB,2.639.,0,santo-antonio-da-patrulha,1972
P,A FERULIO TEDESCO NETTO,MDB,2.639.,0,santo-antonio-da-patrulha,1972
P -,ANTONIO V DO,ARENA.,.968,0,santo-antonio-das-missoes,1972
VP,JOSE ALCION MOURA,ARENA.,.968,0,santo-antonio-das-missoes,1972
P,ZIGMUNDO JOSE RUZYCKI,ARENA,898,0,santo-antonio-das-missoes,1972
VP -,FRANCISCO JACQUES,ARENA,898,0,santo-antonio-das-missoes,1972
-,,ARENA,1.117,0,santo-antonio-das-missoes,1972
P -,REGINALDO RODRIGUES,ARENA,1.117,0,santo-antonio-das-missoes,1972
P -,José Vicente Silva,.M.D.B..=.3,.1.903.....,0,santo-augusto,1972
VP,Carlos Alberto Castagna,.M.D.B..=.3,.1.903.....,0,santo-augusto,1972
P -,Carlos Antonio I. Depiere,MDB1-,262,0,santo-augusto,1972
VP -,Carlos Alberto Castagna,MDB1-,262,0,santo-augusto,1972
P.,Clodomiro . Bonnes .,MDB2-,145,0,santo-augusto,1972
VP,Carlos Alberto Castagna,MDB2-,145,0,santo-augusto,1972
P,Alecrides S. de Moraes,ARENA.....,2.271....,0,santo-augusto,1972
VP,Sinibaldo Natal Polo,ARENA.....,2.271....,0,santo-augusto,1972
P.,Léo Jacob Hartmann,ARENA,3.980....,0,santo-cristo,1972
VP,Eugênio Thomas Gerhard,ARENA,3.980....,0,santo-cristo,1972
,,,,1,sao-borja,1972
Р -,Dr. Vasco Aguiar,ARENA,2.313,0,sao-francisco-de-assis,1972
-,Walter Silva Ferreira,ARENA,2.313,0,sao-francisco-de-assis,1972
-,Julio Nemitz,ARENA,532,0,sao-francisco-de-assis,1972
punt,Walter Silva Ferreira,ARENA,532,0,sao-francisco-de-assis,1972
,Dr. Miguel,ARENA,2.087,0,sao-francisco-de-assis,1972
,Walter Silva Ferreira,ARENA,2.087,0,sao-francisco-de-assis,1972
- VP,Wilson Azambuja,MDB,4.902,0,sao-francisco-de-assis,1972
P,,MDB,4.902,0,sao-francisco-de-assis,1972
P -,LUIZ ANTÔNIO SALVADOR ..,ARENA-UM,2.797v...,0,sao-francisco-de-paula,1972
VP -,ERON PINTO DOS SANTOS ……………,ARENA-UM,2.797v...,0,sao-francisco-de-paula,1972
- P ~,- ~ .WALDOR . PAULO ALBRECHT ....,ARENADOIS,1.962.v...,0,sao-francisco-de-paula,1972
VP --,-- .OSVALDO.DE SOUZA PINTO,ARENADOIS,1.962.v...,0,sao-francisco-de-paula,1972
VP,,M.D.B.,4.183.v.-,0,sao-francisco-de-paula,1972
P,-,M.D.B.,4.183.v.-,0,sao-francisco-de-paula,1972
P,Erasmo José Dias Chiappetta,в2,293,0,sao-gabriel,1972
VP,Ramiro da Silva Meneghello,в2,293,0,sao-gabriel,1972
P,Bento Gonçalves Rocha,1,765,0,sao-gabriel,1972
VP,Nauro Teixeira Codevilla ..,1,765,0,sao-gabriel,1972
P,Baltazar Balbo Teixeira,-2,4.525,0,sao-gabriel,1972
VP,Inocencio da Cunha,-2,4.525,0,sao-gabriel,1972
P,Carlos Goncalves da Cunha,ARENA-1,3.851,0,sao-gabriel,1972
VP,Inocencio da Cunha Goncalv,ARENA-1,3.851,0,sao-gabriel,1972
P,ATHANÁS IO .,ARENA.1.,2.940......,0,sao-jeronimo,1972
VP,ALDO MOREIRA DOS SANTOS,ARENA.1.,2.940......,0,sao-jeronimo,1972
,. JOSÉ . RAMOS .,ARENA-2,1.473,0,sao-jeronimo,1972
VP -,ARISTIDES DA PAIXÃO . BOETRA,ARENA-2,1.473,0,sao-jeronimo,1972
P,NILO MIRANDA,ARENA..3..,662.,0,sao-jeronimo,1972
VP -,ARY BOSQUEROLLI,ARENA..3..,662.,0,sao-jeronimo,1972
P -,PEDRO STEBEN DORNELLES,MDB,3.462,0,sao-jeronimo,1972
VP,OLMINDO DALBEM,MDB,3.462,0,sao-jeronimo,1972
P -,PEDRO ZOGBI,ARENA,1.037,0,sao-jose-do-norte,1972
VP,LEMOS BRAVO,ARENA,1.037,0,sao-jose-do-norte,1972
P -,JARBAS PAIXÃO ILHA MARTINS,*།་,11037',0,sao-jose-do-norte,1972
VP,COSTA RIBEIRO,*།་,11037',0,sao-jose-do-norte,1972
P,HEITOR PINHEIRO,ARENA,973,0,sao-jose-do-norte,1972
VP -,LICELMA LIMA PONTES,ARENA,973,0,sao-jose-do-norte,1972
-,DARIO FUTURO,ARENA,720,0,sao-jose-do-norte,1972
- P,JOSÉ LUIZ CAPAVERDE SARAI VA,ARENA,720,0,sao-jose-do-norte,1972
VP-,FRANCISCO PAROBE,MDB,1.747,0,sao-jose-do-norte,1972
P 1,,MDB,1.747,0,sao-jose-do-norte,1972
VP -,JOSE LUIZ CAPAVERDE SARIAVA,MDB,959,0,sao-jose-do-norte,1972
P -,JOSÉ LUIZ STEIN,MDB_,1.584,0,sao-jose-do-ouro,1972
VP,Eoclides Colombelli,MDB_,1.584,0,sao-jose-do-ouro,1972
P,LAURINDO MENDES DE ARAÚJO,ARENA,1.549,0,sao-jose-do-ouro,1972
VP,1. Pedro Tolardo .,ARENA,1.549,0,sao-jose-do-ouro,1972
_ P -,_,ARENA,1.017,0,sao-jose-do-ouro,1972
VP ☐ -,☐ Daniel Finco,ARENA,1.017,0,sao-jose-do-ouro,1972
P – .,. . NELSON BERGAMO GOMERCINDO CANEVESE,M.D.B.....,.427...,0,sao-jose-do-ouro,1972
VP -,.. Orlando Bachi ..,M.D.B.....,.427...,0,sao-jose-do-ouro,1972
P.,,ARENA...,.373....,0,sao-jose-do-ouro,1972
VP = .,. 1 . SEVERINO FELIZZARI,ARENA...,.373....,0,sao-jose-do-ouro,1972
,Vitalino Vanz .,M..D..B.....,277....,0,sao-jose-do-ouro,1972
P.,CERSI . ANDREANI,M..D..B.....,277....,0,sao-jose-do-ouro,1972
P-,Henrique da Costa Prieto,Arena......,4.894.....,0,sao-leopoldo,1972
VP,Honorio Antonio da Silva .,Arena......,4.894.....,0,sao-leopoldo,1972
P,Glodomiro Martins .,Arena,4.452,0,sao-leopoldo,1972
VP,Germano Mohelecke .,Arena,4.452,0,sao-leopoldo,1972
P,Siegbert Saft,Arena,3.402,0,sao-leopoldo,1972
VP -,Guerino Rosa,Arena,3.402,0,sao-leopoldo,1972
- P,Ma noel Luiz . Nunes ..,MDB,9.835,0,sao-leopoldo,1972
-d VP,Carlos Justo,MDB,9.835,0,sao-leopoldo,1972
P -,Arminio João von,MDB,1.327,0,sao-leopoldo,1972
VP pred,Firmino Alfeu Kehl,MDB,1.327,0,sao-leopoldo,1972
,João Henrique Thofehrn,ARENA,9.686,0,sao-lourenco-do-sul,1972
VP,Nedilande Vargas Corrêa . 1,ARENA,9.686,0,sao-lourenco-do-sul,1972
P,ALSEU DA SILVA BRAGA,ARENA.,6.158,0,sao-luiz-gonzaga,1972
VP,AMERICO PULCINELLI,ARENA.,6.158,0,sao-luiz-gonzaga,1972
P -,MANOEL RAMOS DE,ARENA,1.972...,0,sao-marcos,1972
VP,,ARENA,1.972...,0,sao-marcos,1972
P-,Selvino Detes,MDB.1....,.6.86......,0,sao-martinho,1972
VP,Silvino Attuati,MDB.1....,.6.86......,0,sao-martinho,1972
P,"Holdemar Irber . "" -",MDB2,5.80,0,sao-martinho,1972
,-,MDB2,5.80,0,sao-martinho,1972
VP,-,ARENA1,295,0,sao-martinho,1972
P,1 Jacob Lino Werlang,ARENA1,295,0,sao-martinho,1972
,Otto Waechter,ARENA2,937,0,sao-martinho,1972
VP -,Julio Carlos Hammes,ARENA2,937,0,sao-martinho,1972
,,,,1,sao-nicolau,1972
P -,Danilo Alberto Rhoden,Legenda,1794.,0,sao-paulo-das-missoes,1972
VP,Mario Raimundo Ferst,Legenda,1794.,0,sao-paulo-das-missoes,1972
P,ARNO WINTER,ARENA-1-,4.381,0,sao-pedro-do-sul,1972
• P.,•,ARENA-1-,4.381,0,sao-pedro-do-sul,1972
VP -,,ARENA2,2.322,0,sao-pedro-do-sul,1972
P-,,ARENA2,2.322,0,sao-pedro-do-sul,1972
VP -,Arthur Polonz José Moacyr Silveira Ramos,ARENA3,"1,470",0,sao-pedro-do-sul,1972
,Ervino Bilibio Pozzobon,ARENA3,"1,470",0,sao-pedro-do-sul,1972
- P.,BRUNO CASSEL ...,ARENA-3,4.497,0,sao-sebastiao-do-cai,1972
VP -,João da Silva Reis,ARENA-3,4.497,0,sao-sebastiao-do-cai,1972
- P,JOSÉ ERNESTO MENTZ,ARENA-2,1.040,0,sao-sebastiao-do-cai,1972
VP -,José Carlos Goulart,ARENA-2,1.040,0,sao-sebastiao-do-cai,1972
,OSCAR CARRARD,ARENA-1,975,0,sao-sebastiao-do-cai,1972
VP,Pedro Fridolino Schmidt,ARENA-1,975,0,sao-sebastiao-do-cai,1972
P - P,ROQUE SCHMITZ,M.D.B.-2,2.442,0,sao-sebastiao-do-cai,1972
-,,M.D.B.-2,2.442,0,sao-sebastiao-do-cai,1972
-,Affonso Eugenio Wecker,M.D.B.-1,643,0,sao-sebastiao-do-cai,1972
. VP,JOIR TADEU DA SILVA,M.D.B.-1,643,0,sao-sebastiao-do-cai,1972
P -,.,M.D.B.-3,246,0,sao-sebastiao-do-cai,1972
-,Affonso Eugenio Wecker,M.D.B.-3,246,0,sao-sebastiao-do-cai,1972
Р -,Innocêncio Pires,ARENA1,3.876,0,sao-sepe,1972
VP -,Tibiricá Brum Fires,ARENA1,3.876,0,sao-sepe,1972
1 p_ .,. . Nélson.S . Brum Ellwanger,ARENA2,3.498,0,sao-sepe,1972
VP,Itajubá Pacheco,ARENA2,3.498,0,sao-sepe,1972
Р,ANTONIO CASAGRANDE,MDB1.,1.337,0,sao-valentim,1972
VP,PEDRO SIGNOR,MDB1.,1.337,0,sao-valentim,1972
P,PEDRO DASSOLER,..M.D.B.....3.,..650,0,sao-valentim,1972
VP -,ALCIDES DALLA ROSA,..M.D.B.....3.,..650,0,sao-valentim,1972
-,,.M.D.B..2....,3.91.....,0,sao-valentim,1972
-,,.M.D.B..2....,3.91.....,0,sao-valentim,1972
P 1,ELOI DOS SANTOS SOBRINHO,ARENA?..,.543.....,0,sao-valentim,1972
VP -,AGOSTINHO VALENTINI,ARENA?..,.543.....,0,sao-valentim,1972
P -,CLAUDINO FUZINATTO,ARENA3,449,0,sao-valentim,1972
VP -,TELVINO FIORINDO GALLINA,ARENA3,449,0,sao-valentim,1972
P,IDIVIR SCANDOLARA,ARENA1..,447,0,sao-valentim,1972
VP -,GABRIEL KEMPKA,ARENA1..,447,0,sao-valentim,1972
P -,FLAVIO XAVIER KREBS,sublegendaARENA,819,0,sao-vicente-do-sul,1972
VP,ALFREDO A. PEIXOTO DA ROSA,sublegendaARENA,819,0,sao-vicente-do-sul,1972
P -,JOAQUIM MACIEL DOS SANTOS,sublegenda.,470,0,sao-vicente-do-sul,1972
VP,JOÃO SILVEIRA FRAGOZO,sublegenda.,470,0,sao-vicente-do-sul,1972
P,LAURIANO GARCIA GONÇALES,ARENA,,0,sao-vicente-do-sul,1972
VP . -,JOSE LOY DE MENEZES,ARENA,,0,sao-vicente-do-sul,1972
P -,DARCY MORIM,sublegendaMDB,687,0,sao-vicente-do-sul,1972
VP,JOÃO RODRIGUES CONY,sublegendaMDB,687,0,sao-vicente-do-sul,1972
P,BRAULIO SOARES DOS SANTOS,sublegenda.,289,0,sao-vicente-do-sul,1972
VP . 1,JOÃO A. BIGHELINE,sublegenda.,289,0,sao-vicente-do-sul,1972
P,..,MDB,,0,sao-vicente-do-sul,1972
,NELSOM NADIER,ARENA,4.858,0,sapiranga,1972
,REMY JORGE ZIMMER,ARENA,4.858,0,sapiranga,1972
P -,JOÃO FREITAS FILHO,_MDB-1,4.516........,0,sapucaia-do-sul,1972
VP - •,GUILHERMINO PROENÇA,_MDB-1,4.516........,0,sapucaia-do-sul,1972
P -,GERALDO DA CRUZ PADILHA .,MDB-1...,3.114,0,sapucaia-do-sul,1972
VP_ •,JOEL MACHADO,MDB-1...,3.114,0,sapucaia-do-sul,1972
P.,PAULO . SERGIO . MOELLER,ARENA-1,6.182,0,sapucaia-do-sul,1972
VP,ARTUR MESQUITA DIAS,ARENA-1,6.182,0,sapucaia-do-sul,1972
P -,JOÃO CARLOS SCHEIBE,ARENA3,2.041,0,sarandi,1972
VP -,MARIO JOSE ZANDONA .,ARENA3,2.041,0,sarandi,1972
P -,EDVINO WERLANG .,ARENA2,670,0,sarandi,1972
VP,MARIO JOSE ZANDONA .,ARENA2,670,0,sarandi,1972
P -,JAIME PALLASTRELLI .,ARENA1,294,0,sarandi,1972
VP,MARIO JOSE ZANDONA .,ARENA1,294,0,sarandi,1972
P,NAUM GROSSI .,MDB1,1.411,0,sarandi,1972
VP,IVO SPRANDEL .,MDB1,1.411,0,sarandi,1972
P,ADELINO GELAIN .,MDB2,1.309,0,sarandi,1972
VP,IVO SPRANDEL .,MDB2,1.309,0,sarandi,1972
P -,Adilon Osório de Oliveira,SUBLEGENDA,OBTIDA,0,seberi,1972
VP -,Rui Figueiredo Pereira,SUBLEGENDA,OBTIDA,0,seberi,1972
P 1,José . Alves.de.Souza ..,ARENAI,2.330,0,seberi,1972
VP,Jorge Rocha .,ARENAI,2.330,0,seberi,1972
P -,ILVO ALOYSIO BARTH,ARENA.-2...,1.234,0,selbach,1972
,JACO . DAVID . HAMMES .,ARENA.-2...,1.234,0,selbach,1972
,BENKOTELY .,ARENA-1,554,0,selbach,1972
- VP,PEDRO ALFREDO WERLANG,ARENA-1,554,0,selbach,1972
P,1 IRCEU ANTÔNIO GASPARIN,,1.572,0,serafina-correa,1972
VP,,,1.572,0,serafina-correa,1972
Ρ,,MDB,1.441,0,serafina-correa,1972
VP,-,MDB,1.441,0,serafina-correa,1972
P,- _ LAURINDO CADORE,ARENA,370,0,serafina-correa,1972
,BRUNO JOSÉ MAROCCO,ARENA,370,0,serafina-correa,1972
,BRUNO FRANCISCO DALL'IGNA,MDB,312,0,serafina-correa,1972
,NELSON ASSONI,MDB,312,0,serafina-correa,1972
P -,Frederico Moyses Benvegnú,ofsub-legenda,1.520.,0,sertao,1972
-,Lirio Antonio Maschio,ofsub-legenda,1.520.,0,sertao,1972
P -,Ernesto Schwartz,ARENA,,0,sertao,1972
,Lindemar Franzon,ARENA,,0,sertao,1972
P -,- ATILIO NESPOLO .,819..,819,0,severiano-de-almeida,1972
VP,Severino Benincá,819..,819,0,severiano-de-almeida,1972
P -,OVIDIO ANTONIO - .,,2.015...,0,sobradinho,1972
VP,HERBERT WILKE,,2.015...,0,sobradinho,1972
P -,LADEMIRO DORS -,ARENA2,2.529.,0,sobradinho,1972
.,ATAUALPA DE FREITAS,ARENA2,2.529.,0,sobradinho,1972
VP,,MOB-1,296...,0,sobradinho,1972
P,-,MOB-1,296...,0,sobradinho,1972
,1 • GIACOMO OLIVIER,мов................,1.477,0,sobradinho,1972
,ANGELO SEVERINO MARIANI,мов................,1.477,0,sobradinho,1972
,IVO SILVEIRA DE MORAES,MDB.-3.,1.959...,0,sobradinho,1972
-,_ ANGELO SEVERINO MARIANI,MDB.-3.,1.959...,0,sobradinho,1972
- P,- TRAJANO PORTO CARDOSO,ARENA-1,3.766,0,soledade,1972
- VP,- Plinio José Disconzi,ARENA-1,3.766,0,soledade,1972
P,- JOÃO CHAVES CAMPELLO,ARENA-2,2.033,0,soledade,1972
.,,ARENA-2,2.033,0,soledade,1972
VP 1,1 Plinio José Disconzi,MDB-1,5.276,0,soledade,1972
1 P,1 RUI ORTIZ,MDB-1,5.276,0,soledade,1972
-,,MDB-2,1.069,0,soledade,1972
VP 1,1 José Hammann Pinheiro,MDB-2,1.069,0,soledade,1972
P,ALDINO GUERINO LANGARO,ARENA,4.119.-,0,tapejara,1972
VP,ARDULINO LANGARO,ARENA,4.119.-,0,tapejara,1972
P.,IZIDORO GREGORIO SIMON,ARENA1,1.346,0,tapera,1972
VP,HENRIQUE BRATZ,ARENA1,1.346,0,tapera,1972
Р,WALTER SCHERER,ARENA2,663,0,tapera,1972
VP -,HENRIQUE BRATZ,ARENA2,663,0,tapera,1972
-,,MDB1,1.410,0,tapera,1972
P,ROMEU CLAUDIO KLOECKNER,MDB1,1.410,0,tapera,1972
VP,JOÃO ROQUE SIMON,MDB2,470,0,tapera,1972
P,,MDB2,470,0,tapera,1972
P -,PIRES SANDER,ARENAI..,1558...,0,tapes,1972
VP -,BRUNO SCHRANCK,ARENAI..,1558...,0,tapes,1972
P -,PAULO ALFONSIN SIMCHEN,ARENAII,2.559..,0,tapes,1972
VP,AMAZONAS COUTINHO DE OLIVEIRA GROSS,ARENAII,2.559..,0,tapes,1972
Р -,,MDB,4.053,0,tapes,1972
VP,HERNANI SILVA PEREIRA,MDB,4.053,0,tapes,1972
P.,Alceu Martins da Rosa,ARENA-1,6.510,0,taquara,1972
VP - •,Anibaldo Renck,ARENA-1,6.510,0,taquara,1972
P.,•,MDB1,6.145,0,taquara,1972
,Ary Nestor Jaeger,MDB1,6.145,0,taquara,1972
P,LEO ALVIM FALLER,ARENA.,.4.343.....,0,taquari,1972
VP,NILDO FLORES DA SILVA,ARENA.,.4.343.....,0,taquari,1972
- P —,.CELSO..LUIZ MARTINS,MDB,.4.133..,0,taquari,1972
VP,NAMIR LUIZ JANTSCH,MDB,.4.133..,0,taquari,1972
,,,,1,tenente-portela,1972
P,WEBBER RODRIGUES,ARENA,6.718,0,torres,1972
VP,Wellausen Porto,ARENA,6.718,0,torres,1972
P,JUSTO BORGES,MDB-1,2.715,0,torres,1972
VP,de Oliveira,MDB-1,2.715,0,torres,1972
P,MUNIZ DOS REIS,MDB-2,1.659,0,torres,1972
VP 1 -,Munari,MDB-2,1.659,0,torres,1972
1,,MDB-3...,674,0,torres,1972
-,CLARISMUNDO,MDB-3...,674,0,torres,1972
,,,,1,tramandai,1972
Р,LAURO MILTON VOLKART,ARENA_,1.463,0,tres-coroas,1972
,Guilherme Eckard,ARENA_,1.463,0,tres-coroas,1972
~ VP,- •,MDB,1.053,0,tres-coroas,1972
P,ARMANDO BRUSIUS,MDB,1.053,0,tres-coroas,1972
P -,Sawitzki,MDB,5.142,0,tres-de-maio,1972
VP,Franco se Azambuja,MDB,5.142,0,tres-de-maio,1972
P -,Antonio Matana Saciloto,ARENA,4.788,0,tres-de-maio,1972
VP -,Gonçalo Cereser,ARENA,4.788,0,tres-de-maio,1972
,,,,1,tres-passos,1972
P-,Bento Gonçalves dos,ARENA....1.,1.468,0,triunfo,1972
- VP,Enio Manoel Machry,ARENA....1.,1.468,0,triunfo,1972
P,Fontoura da Rocha,ARENA2..912,1.327.,0,triunfo,1972
VP,Wilson Dias Cunha ..,ARENA2..912,1.327.,0,triunfo,1972
P -,Pedro Levino do .,..MDB.,2.282...,0,triunfo,1972
VP,Milton Silveira Massena,..MDB.,2.282...,0,triunfo,1972
,,,,1,tucunduva,1972
P- -,Eduardo Ribeiro Bonumá,ARENA.....,5.534.....,0,tupancireta,1972
VP 1,Miguel Chiapetta,ARENA.....,5.534.....,0,tupancireta,1972
,,,,1,tuparendi,1972
,,,,1,uruguaiana,1972
P,☐ Marcos Palombini,MDB,10.797,0,vacaria,1972
VP -,Enore Angelo,MDB,10.797,0,vacaria,1972
- P,José Vital Bossler,ARENA,8.696,0,vacaria,1972
VP,Dilermando Jacobi,ARENA,8.696,0,vacaria,1972
P,José . Mylius .,SUBLEGENDA,,0,venancio-aires,1972
VP -,. Buchner .,SUBLEGENDA,,0,venancio-aires,1972
Op -,. Klein ....,ARENA-19,6.776......,0,venancio-aires,1972
VP -,. Farinhas .,ARENA-19,6.776......,0,venancio-aires,1972
- P,. Stein . Goulart,ARENA-2....,2.913...,0,venancio-aires,1972
D VP -,. Alberto Campos ..,ARENA-2....,2.913...,0,venancio-aires,1972
- op –,. Arno . Schultz ....,.MDB...1,3.138.....,0,venancio-aires,1972
VP,. Campos,.MDB...1,3.138.....,0,venancio-aires,1972
P-,GUIDO HOFF,ARENA,3.300,0,vera-cruz,1972
,IVÊNIO ROQUE MUELLER,ARENA,3.300,0,vera-cruz,1972
P,LIRIO SOARES,ARENA,3.879,0,veranopolis,1972
,-,ARENA,3.879,0,veranopolis,1972
VP -,ADELINO ORSO,Legenda1,1.371,0,veranopolis,1972
,.,Legenda1,1.371,0,veranopolis,1972
. -P =,= ISIDORO OLIMPIO GIARETTA,ARENA,,0,veranopolis,1972
,Gomercindo Carlos Roehe,ARENA,,0,veranopolis,1972
P.,LEONIR ANTONIO FARINA,LegendarlM.D.B,3.799,0,veranopolis,1972
,་ Edegar Ernesto Chiaradia,LegendarlM.D.B,3.799,0,veranopolis,1972
VP,,M.D.B.,625,0,veranopolis,1972
P,• VICTORINO ANGELO DAL,M.D.B.,625,0,veranopolis,1972
93VP,2 . Gentil Lunardi,M.D.B,602,0,veranopolis,1972
P,SEVERINO DE CARLI,M.D.B,602,0,veranopolis,1972
,NATAL TOCHETTO ..,ARENA2,801,0,viadutos,1972
VP -,- 1. Sergio . Fabris …… ..,ARENA2,801,0,viadutos,1972
,Isidoro .. Jose . Campgna .....,ARENA.1,.......738.,0,viadutos,1972
VP –,– . Jozelino . Jose Baldissera,ARENA.1,.......738.,0,viadutos,1972
P -,ATTILIO ECCO -,MDB1,1.164,0,viadutos,1972
VP -,- B,MDB1,1.164,0,viadutos,1972
,Roque . Stanislaski . Sergio . Aquiles ... Brancher,MDB.2,129.....,0,viadutos,1972
VP,Sergio Aquiles Brancher,MDB.2,129.....,0,viadutos,1972
osters,NOME,_ARENA1,12.115,0,viamao,1972
P,Marcionilo Pacheco de,_ARENA1,12.115,0,viamao,1972
VP - _,José Francisco Grassi,MDB1,1.8187,0,viamao,1972
- P _,Walter Osório Marques,MDB1,1.8187,0,viamao,1972
copi,Tapir Tabajara Canto da,MDB2,1.474,0,viamao,1972
P,- Evaldo Maia dos Santos,MDB2,1.474,0,viamao,1972
VP,Adair de Fraga Alves,MDB3.,432/,0,viamao,1972
27.00,Vivaldino Osório Prestes,MDB3.,432/,0,viamao,1972
,,,,1,vicente-dutra,1972
P,Lucia . Arildo . Loesch,Arena1..,1.192.,0,victor-graeff,1972
VP -,Oflides . Rodrigues Muller,Arena1..,1.192.,0,victor-graeff,1972
P -,Benno Balduino Kohlrausch,.M.D.BL...,5.69...,0,victor-graeff,1972
VP -,Rudy Gehlen,.M.D.BL...,5.69...,0,victor-graeff,1972
